123		123		0		1588229689		8532476606960251757		0.00		1588229689		0		123.00		0		1		123.00		0.00		123.00		1588229689		0
234		234		0		1588232563		6078852762579192924		1.00		1588232589		1		0.00		0		1		234.00		0.00		234.00		1588232563		0
234		234		0		1588232563		6078852762579192924		1.00		1588232589		1		0.00		0		2		-233.00		233.00		0.00		1588232667		0
123		123		0		1588229689		8532476606960251757		100.50		1588232796		1		0.00		0		1		100.00		123.00		223.00		1588232766		1
123		123		0		1588229689		8532476606960251757		100.50		1588232796		1		0.00		0		0		-22.00		22.00		0.00		1588232830		1
000		000		0		1588505929		0		1.00		1588506113		1		0.00		0		1		123.00		0.00		123.00		1588505929		0
000		000		0		1588505929		0		1.00		1588506113		1		0.00		0		1		123.00		122.00		245.00		1588506153		0
000		000		0		1588505929		0		1.00		1588506113		1		0.00		0		2		-245.00		245.00		0.00		1588506184		0
000		000		0		1588505929		0		1.00		1588506113		1		0.00		0		0		0.00		0.00		0.00		1588506258		0
123		000		0		1588229689		8532476606960251757		200.50		1588232796		1		900.00		0		1		1000.00		0.00		1000.00		1588506346		1
123		000		0		1588229689		8532476606960251757		200.50		1588232796		1		900.00		0		1		100.00		1000.00		1100.00		1588506356		1
